"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1190","4605002","CYLINDRICAL ROLLER BALL BEARING NU - 307 ECP S","NOS","13","2-Jul-1991","22-Feb-2006","239.89","","","","",""
"1191","4605005","CYLINDRICAL ROLLER BALL BEARING NU 2208 SKF M","NOS","12","31-Mar-2005","26-Aug-2003","465.94","","","","",""
"1192","4605006","BEARING NU311ECP/C3.","NOS","8","5-Apr-2018","17-Nov-2017","28564.00","","","","",""
"1193","4605012","BEARING NU 307 E","NOS","6","23-Oct-2014","9-Nov-2010","9241.00","","","","",""
"1194","4605032","SKF/FAG/TIMKEN MAKE BEARING NU 205 ECP/C3.","NOS","3","17-Nov-2017","17-Feb-2014","4051.50","","","","",""
"1195","4605033","SKF/FAG/TIMKEN MAKE BEARING  NU 204 ECP/C3.","NOS","3","29-Jan-2018","5-Sep-2016","5736.48","","","","",""
"1196","4605035","SKF/FAG/TIMKEN MAKE   BEARING NU 305 ECP/C3","NOS","3","29-Jan-2018","30-Sep-2016","5427.90","","","","",""
"1197","4605036","BEARING NU 310 ECP/C3","NOS","4","23-Dec-2017","18-Mar-2017","17237.56","","","","",""
"1198","4605043","SKF/NTN/TIMKEN MAKE BEARING NU 313 ECJ","NOS","2","9-Nov-2017","17-Nov-2017","5027.33","","","","",""
"1199","4605047","-do-  NJ 305 ECP","NOS","3","7-Dec-2013","23-Apr-2013","1026.00","","","","",""
"1200","4606011","SKF/FAG/TIMKEN MAKE BEARING 30209 J2/Q","NOS","6","17-Nov-2017","11-May-2017","2496.42","","","","",""
"1201","4609003","DOUBLE ROW SELF ALIGNING BALL BEARING 2216 K","NOS","1","14-Oct-1995","24-Aug-2004","201.48","","","","",""
"1202","4609004","DOUBLE ROW SELF ALIGNING SPHERICAL ROLLER B","NOS","3","7-Jan-1992","3-May-1997","159.75","","","","",""
"1203","4609005","SKF/NTN/TIMKEN MAKE BEARING 22215 EK/C3","NOS","4","9-Nov-2017","21-Dec-2016","12266.00","","","","",""
"1204","4610004","DRSA BALL BEARING 1207 NBC-U-135 SKF MAKE","NOS","69","","27-Feb-2008","259.60","","","","",""
"1205","4612007","BEARING 1209 EKTN9/C3","NOS","108","12-Mar-2018","12-May-2018","113275.90","","","","",""
"1206","4612009","SKF/NTN/TIMKEN MAKE BEARING 1211EKTN9/C3.","NOS","32","12-Feb-2018","12-May-2018","53660.57","","","","",""
"1207","4613003","BEARING 22312EK/C3","NOS","16","5-Apr-2018","23-Aug-2017","94358.00","","","","",""
"1208","4613004","SKF/NTN/TIMKEN MAKE BEARING 22213 EK/C3.","NOS","4","9-Nov-2017","19-Apr-2016","11703.00","","","","",""
"1209","4613007","DRSA ROLLER BALL BEARING 552+22222K+H322   S","NOS","2","","19-Nov-1993","105.48","","","","",""
"1210","4613009","IMPORTED BEARING 22228/CCK/W33","NOS","1","12-Mar-2016","28-Mar-2016","11235.00","","","","",""
"1211","4613010","BEARING 22209 EK/C3","NOS","32","9-Jul-2018","26-Jul-2018","168734.40","","","","",""
"1212","4613011","BEARING 22211 EK/C3.","NOS","15","5-Apr-2018","26-Jul-2018","66742.73","","","","",""
"1213","4613027","SKF/NTN/TIMKEN MAKE BEARING 22212 EK / C3","NOS","4","9-Nov-2017","17-Nov-2017","10758.00","","","","",""
"1214","4613030","IMPORTED BEARING  22217EK/C3","NOS","1","12-Mar-2016","28-Mar-2016","3280.00","","","","",""
"1215","4613032","BEARING 22308 E/C3","NOS","1","23-Dec-2017","23-Aug-2017","4536.20","","","","",""
"1216","4613034","BEARING 22314 E/C3","NOS","6","2-May-2018","17-Nov-2017","","","","","",""
"1217","4614002","BEARING 2220","NOS","3","12-Mar-2016","28-Mar-2016","37225.20","","","","",""
"1218","4617002","SKF/FAG/TIMKEN MAKE BEARING  6204 2Z","NOS","12","17-Nov-2017","23-Jun-2018","2906.28","","","","",""
"1219","4617003","SKF/FAG/TIMKEN MAKE BEARING 6206 2Z","NOS","12","17-Nov-2017","11-May-2017","3750.84","","","","",""
"1220","4617004","SKF/FAG/TIMKEN MAKE BEARING 6205 2Z","NOS","12","17-Nov-2017","21-Jun-2018","3837.78","","","","",""
"1221","4617008","SKF/FAG/TIMKEN MAKE BEARING 6301 2Z","NOS","3","17-Nov-2017","11-May-2017","252.54","","","","",""
"1222","4617009","SKF/FAG/TIMKEN MAKE BEARING 6208 2Z","NOS","6","17-Nov-2017","13-May-2017","2202.48","","","","",""
"1223","4617012","SKF/FAG/TIMKEN MAKE BEARING  6201 2Z","NOS","12","17-Nov-2017","23-Jun-2018","1502.82","","","","",""
